playerID,SUM(b.H),SUM(b.HR),SUM(b.RBI),SUM(P.SO),AVG(P.ERA),inducted
sheffga01,8067,1527,5028,NULL,NULL,N
belleal01,3452,762,2478,NULL,NULL,N
disarga01,966,28,355,NULL,NULL,N
gonzaju03,3872,868,2808,NULL,NULL,N
griffke02,2781,630,1836,NULL,NULL,Y
grissma02,2251,227,967,NULL,NULL,N
justida01,1571,305,1017,NULL,NULL,N
olerujo01,2239,255,1230,NULL,NULL,N
sosasa01,12040,3045,8335,NULL,NULL,N
vaughgr01,1475,355,1072,NULL,NULL,N
walkela01,15120,2681,9177,NULL,NULL,N
aloumo01,2134,332,1287,NULL,NULL,N
baergca01,1583,134,774,NULL,NULL,N
coninje01,1982,214,1071,NULL,NULL,N
frymatr01,1776,223,1022,NULL,NULL,N
gonzalu01,2591,354,1439,NULL,NULL,N
lankfra01,1561,238,874,NULL,NULL,N
beckro01,56,0,14,9016,3.5457142846924916,N
hentgpa01,126,0,0,18060,4.575000013623919,N
hernaro01,20,0,0,18900,3.855999994277954,N
kileda01,1044,24,480,20016,4.164166688919067,N
mussimi01,648,0,360,202536,3.702222228050232,N
rhodear01,22,0,0,25344,4.024545460939407,N
timlimi01,0,0,0,18312,3.7223809446607317,N
martipe02,774,0,324,56772,2.9983333547910056,Y
reynosh01,1001,65,559,18239,4.1569230785736675,N
wakefti01,247,19,76,40964,4.40105266320078,N
guarded01,0,0,0,15162,4.565263170945017,N
hamptmi01,2848,256,1264,22192,4.170624986290932,N
hoffmtr01,152,0,190,43054,2.9263158032768652,N
jonesto02,76,0,0,16492,4.161578893661499,N
nenro01,11,0,0,8723,3.4236363714391533,N
rueteki01,1330,0,560,11452,4.120000013283321,N
sandesc02,225,0,72,5688,6.190000110202366,N
seleaa01,135,0,15,21105,4.582000017166138,N
williwo02,1680,64,688,23680,4.063124969601631,N
benitar01,0,0,36,17028,3.3699999716546802,N
nomohi01,845,52,338,24934,5.714615418360784,N
percitr01,0,0,0,10934,3.5028571827071056,N
radkebr01,36,0,0,17604,4.261666655540466,N
